	chart	title	artist	weeks	rank	query_week	lyrics
1	hot-holiday-songs	All I Want For Christmas Is You	Mariah Carey	30.0	1.0	2016-12-31	"I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you

I don't want a lot for Christmas
There is just one thing I need
And I don't care about the presents
Underneath the Christmas tree

I don't need to hang my stocking
There upon the fireplace
Santa Claus won't make me happy
With a toy on Christmas day
I just want you for my own
...


(1409614428508)"
2	hot-holiday-songs	Hallelujah	Pentatonix	5.0	2.0	2016-12-31	"I've heard there was a secret chord
That David played and it pleased the Lord
But you don't really care for music, do ya?

Well it goes like this: the fourth, the fifth
The minor fall, the major lift
The baffled king composing Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah

Well, your faith was strong, but you needed proof
You saw her bathing on the roof
Her beauty in the moonlight overthrew ya

She tied you to the kitchen chair
...


(1409614428508)"
3	hot-holiday-songs	Jingle Bell Rock	Bobby Helms	29.0	3.0	2016-12-24	"Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up bushels of fun
Now the jingle hop has begun

Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time, it's the right time
To rock the night away
...


(1409614428508)"
4	hot-holiday-songs	Rockin' Around The Christmas Tree	Brenda Lee	29.0	4.0	2016-12-24	"Rocking around the Christmas Tree
At the Christmas party hop
Mistletoe hung where you can see
Every couple tries to stop

Rocking around the Christmas Tree
Let the Christmas Spirit ring
Later we'll have some pumpkin pie
And we'll do some caroling
...


(1409614428508)"
5	hot-holiday-songs	It's The Most Wonderful Time Of The Year	Andy Williams	28.0	5.0	2016-12-17	"It's the most wonderful time of the year 
With the kids jingle belling
And everyone telling you ""Be of good cheer"" 
It's the most wonderful time of the year 
It's the hap-happiest season of all
With those holiday greetings and gay happy meetings 
When friends come to call 
It's the hap- happiest season of all 

There'll be parties for hosting 
Marshmallows for toasting 
And caroling out in the snow 
...


(1409614428508)"
6	hot-holiday-songs	The Christmas Song (Merry Christmas To You)	Nat King Cole	28.0	6.0	2016-12-17	"Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yuletide carols being sung by a choir
And folks dressed up like Eskimos

Everybody knows a turkey and some
Mistletoe help to make the season bright
Tiny tots with their eyes all aglow
...


(1409614428508)"
7	hot-holiday-songs	A Holly Jolly Christmas	Burl Ives	27.0	7.0	2016-12-10	"Have a holly jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh, ho, the mistletoe
Hung where you can see
...


(1409614428508)"
8	hot-holiday-songs	Feliz Navidad	Jose Feliciano	27.0	8.0	2016-12-10	"Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad

Feliz Navidad
Feliz Navidad
Feliz Navidad, prospero año y felicidad


I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas
I wanna wish You a Merry Christmas, from the bottom of My heart

...


(1409614428508)"
9	hot-holiday-songs	Last Christmas	Wham!	26.0	9.0	2016-01-09	"Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me baby, do you recognize me?

Well, it's been a year, it doesn't surprise me
""Merry Christmas"" I wrapped it up and sent it
With a note saying ""I love you"", I meant it
Now I know what a fool I've been

But if you kissed me now, I know you'd fool me again
...


(1409614428508)"
10	hot-holiday-songs	Christmas Eve (Sarajevo 12/24)	Trans-Siberian Orchestra	26.0	10.0	2016-01-09	
11	hot-holiday-songs	White Christmas	Bing Crosby	25.0	5.0	2016-01-02	"I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten
And children listen
To hear sleigh bells in the snow

I'm dreaming of a white Christmas
...


(1409614428508)"
12	hot-holiday-songs	Rudolph The Red-Nosed Reindeer	Gene Autry	25.0	9.0	2016-01-02	"You know Dasher and Dancer
And Prancer and Vixen
Comet and Cupid
And Donner and Blitzen
But do you recall
The most famous reindeer of all

Rudolph the red-nosed reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glows
All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games
...


(1409614428508)"
13	hot-holiday-songs	Mary Did You Know	Jordan Smith	1.0	2.0	2015-12-26	"Mary, did you know
that your Baby Boy would one day walk on water?
Mary, did you know
that your Baby Boy would save our sons and daughters?
Did you know
that your Baby Boy has come to make you new?
This Child that you delivered will soon deliver you.

Mary, did you know
that your Baby Boy will give sight to a blind man?
Mary, did you know
...


(1409614428508)"
